offset,x,y,z,lat,lon
12880,259154.91,-1551903.9,2706.404,75.54955385227379,-35.51956479950165
12900,259136.8,-1551895.4,2706.3486,75.54965718737733,-35.520164296645696
12920,259118.68,-1551887.0,2706.2933,75.54975963922162,-35.520764761373435
12940,259100.57,-1551878.6,2706.2047,75.54986207454611,-35.521364875512916
12960,259082.45,-1551870.2,2706.1124,75.54996452329391,-35.52196535744128
12980,259064.34,-1551861.8,2706.02,75.55006695552373,-35.522565488775086
13000,259046.22,-1551853.3,2705.9276,75.55017029786998,-35.523165388302914
13020,259028.1,-1551844.9,2705.8373,75.55027274197408,-35.52376589606756
13040,259009.99,-1551836.5,2705.7832,75.55037516956291,-35.524366053228185
13060,258991.87,-1551828.1,2705.729,75.55047761057018,-35.52496657819399
13080,258973.76,-1551819.6,2705.6749,75.55058093176613,-35.5255661530814
13100,258955.64,-1551811.2,2705.6208,75.5506833696782,-35.52616669528193
13120,258937.53,-1551802.8,2705.5513,75.55078579107861,-35.526766886865815
13140,258919.41,-1551794.4,2705.4603,75.55088822589356,-35.52736744626792
13160,258901.29,-1551785.9,2705.3693,75.55099155586862,-35.52796741493776
13180,258883.18,-1551777.5,2705.2783,75.5510939726273,-35.528567632349606
13200,258865.06,-1551769.1,2705.1886,75.55119640279761,-35.52916821758944
13220,258846.95,-1551760.7,2705.12,75.55129881646079,-35.529768452196876
13240,258828.83,-1551752.3,2705.0514,75.55140124353365,-35.53036905463882
13260,258810.72,-1551743.8,2704.9828,75.55150455081916,-35.53096870727402
13280,258792.6,-1551735.4,2704.9141,75.55160697479617,-35.531569326951654
13300,258774.48,-1551727.0,2704.8373,75.55170939722387,-35.53216995523213
13320,258756.37,-1551718.6,2704.7605,75.55181180314892,-35.53277023286445
13340,258738.25,-1551710.1,2704.6838,75.55191511920388,-35.533370279312905
13360,258720.14,-1551701.7,2704.5262,75.55201752203469,-35.53397057417492
13380,258702.02,-1551693.3,2704.4125,75.55211993826839,-35.534571236894266
13400,258683.91,-1551684.9,2704.2988,75.55222233800306,-35.535171548952846
13420,258665.79,-1551676.4,2704.1852,75.55232564787077,-35.535771629973965
13440,258647.68,-1551668.0,2704.0627,75.5524280445109,-35.53637195926267
13460,258629.56,-1551659.6,2703.9393,75.55253045455005,-35.53697265642173
13480,258611.44,-1551651.2,2703.8159,75.55263286303956,-35.53757336218412
13500,258593.33,-1551642.8,2703.6925,75.55273525503455,-35.538173717269984
13520,258575.21,-1551634.3,2703.5774,75.55283855716654,-35.538773841501445
13540,258557.1,-1551625.9,2703.482,75.55294094606664,-35.53937421381797
13560,258538.98,-1551617.5,2703.3866,75.55304334836089,-35.53997495402114
13580,258520.87,-1551609.1,2703.2913,75.55314573416423,-35.54057534353519
13600,258502.75,-1551600.6,2703.1959,75.55324903010772,-35.54117550234128
13620,258484.63,-1551592.2,2703.0762,75.55335142775515,-35.541776268385554
13640,258466.52,-1551583.8,2702.9519,75.55345380891434,-35.542376683731234
13660,258448.4,-1551575.4,2702.8275,75.55355620346283,-35.54297746697984
13680,258430.29,-1551567.0,2702.7032,75.5536585815249,-35.54357789952356
13700,258412.17,-1551558.5,2702.5772,75.55376186973109,-35.54417810154246
13720,258394.06,-1551550.1,2702.4469,75.55386424469768,-35.54477855131781
13740,258375.94,-1551541.7,2702.3166,75.55396663304964,-35.545379369009126
13760,258357.82,-1551533.3,2702.1863,75.55406901985148,-35.5459801953045
13780,258339.71,-1551524.8,2702.056,75.55417228693524,-35.54658007257843
13800,258321.59,-1551516.4,2701.916,75.55427467063943,-35.54718091611228
13820,258303.48,-1551508.0,2701.7756,75.55437703786352,-35.54778140891918
13840,258285.36,-1551499.6,2701.6063,75.55447941846816,-35.548382269658326
13860,258267.25,-1551491.1,2701.4181,75.55458267936534,-35.548982181496896
13880,258249.13,-1551482.7,2701.23,75.55468505687205,-35.54958305947495
13900,258231.02,-1551474.3,2701.0404,75.55478741790226,-35.55018358671344
13920,258212.9,-1551465.9,2700.8191,75.55488979230913,-35.5507844818972
13940,258194.78,-1551457.5,2700.5978,75.55499216516554,-35.55138538568551
13960,258176.67,-1551449.0,2700.3765,75.55509541832782,-35.551985340724386
13980,258158.55,-1551440.6,2700.1552,75.55519778808595,-35.55258626175214
14000,258140.44,-1551432.2,2699.9364,75.55530014137211,-35.553186832024565
14020,258122.32,-1551423.8,2699.723,75.55540250803006,-35.55378777025856
14040,258104.21,-1551415.3,2699.5095,75.55550575500452,-35.554387759864035
14060,258086.09,-1551406.9,2699.296,75.5556081185639,-35.5549887153379
14080,258067.97,-1551398.5,2699.0826,75.55571048057259,-35.55558967941667
14100,258049.86,-1551390.1,2698.8715,75.55581282611382,-35.55619029272437
14120,258031.74,-1551381.7,2698.6616,75.55591518502197,-35.55679127400991
14140,258013.63,-1551373.2,2698.4517,75.55601842425995,-35.55739130681814
14160,257995.51,-1551364.8,2698.2418,75.5561207800692,-35.55799230534409
14180,257977.4,-1551356.4,2698.0321,75.55622311941457,-35.558592953086354
14200,257959.28,-1551348.0,2697.8281,75.556325472123,-35.5591939688195
14220,257941.16,-1551339.5,2697.6242,75.55642872008303,-35.55979439559156
14240,257923.05,-1551331.1,2697.4202,75.55653105478113,-35.560395069170255
14260,257904.93,-1551322.7,2697.2162,75.55663340283937,-35.56099611074961
14280,257886.82,-1551314.3,2697.0462,75.55673573443823,-35.56159680152953
14300,257868.7,-1551305.8,2696.8794,75.55683897620486,-35.562197262883835
14320,257850.59,-1551297.4,2696.753,75.55694130470613,-35.562797970898586
14340,257832.47,-1551289.0,2696.634,75.55704364656366,-35.56339904692704
14360,257814.36,-1551280.6,2696.5081,75.55714597196543,-35.56399977214344
14380,257796.24,-1551272.2,2696.3822,75.5572483107215,-35.56460086538004
14400,257778.12,-1551263.7,2696.2563,75.55735154474468,-35.56520136995664
14420,257760.01,-1551255.3,2696.1304,75.55745386549823,-35.565802121010904
14440,257741.89,-1551246.9,2696.0041,75.55755619960317,-35.56640324009515
